,lat,lng,building,postal
0,1.28861469,103.80501,ANCHORPOINT SHOPPING CENTRE,159953
1,1.325595948,103.8425716,BALESTIER HILL SHOPPING CENTRE,300001
2,1.325896202,103.8429355,BALESTIER HILL SHOPPING CENTRE,320002
3,1.324772074,103.9292677,BEDOK MALL,467360
4,1.346348197,103.7124293,BOON LAY SHOPPING CENTRE,640221
5,1.343164753,103.7760314,BUKIT TIMAH SHOPPING CENTRE,588179
6,1.288428487,103.8423003,CTRL MALL,59567
7,1.288753671,103.8424844,CTRL MALL,59570
8,1.28906317,103.8428886,CTRL MALL,59571
9,1.311421144,103.8566246,CITY SQUARE MALL,208539
10,1.292777731,103.8541735,CITYLINK MALL,39393
11,1.314278602,103.7713506,CLEMENTI AVE 2 SHOPPING CENTRE,120352
12,1.313513864,103.7708611,CLEMENTI AVE 2 SHOPPING CENTRE,120354
13,1.305994056,103.7970639,COMMONWEALTH CAR MALL,149554
14,1.300614374,103.842228,CONCORDE HOTEL AND SHOPPING MALL,238840
15,1.280844695,103.8102926,DEPOT HTS SHOPPING CENTRE,100108
16,1.37286218,103.847645,DJIT SUN MALL,569663
17,1.326119703,103.9295545,DJITSUN MALL BEDOK,469661
18,1.342706196,103.9530245,EASTPOINT MALL,528833
19,1.378602397,103.9419782,ELIAS MALL,510625
20,1.305506108,103.8299848,FAR EAST SHOPPING CENTRE,238882
21,1.306097522,103.8286786,FORUM THE SHOPPING MALL,238884
22,1.348743571,103.6977321,GEK POH SHOPPING CENTRE,640762
23,1.318276298,103.8436693,GOLDHILL SHOPPING CENTRE,307624
24,1.318683972,103.8434642,GOLDHILL SHOPPING CENTRE,307632
25,1.318158446,103.8433049,GOLDHILL SHOPPING CENTRE,307633
26,1.318394603,103.8432818,GOLDHILL SHOPPING CENTRE,307637
27,1.314270439,103.7651475,GRANTRAL MALL @ CLEMENTI,129581
28,1.359541773,103.8851674,HEARTLAND MALL-KOVAN,530205
29,1.378431008,103.7628428,HILLION MALL,678278
30,1.310278411,103.7953715,HOLLAND RD SHOPPING CENTRE,278967
31,1.379245291,103.887832,HOUGANG GREEN SHOPPING MALL,538719
32,1.35458424,103.8777898,ICB SHOPPING CENTRE,545521
33,1.35458139,103.8777887,ICB SHOPPING CENTRE,545526
34,1.350481979,103.8487608,JUNCTION 8 SHOPPING CENTRE,579837
35,1.303075152,103.8731497,KALLANG WAVE MALL,397628
36,1.304097312,103.9015159,KATONG SHOPPING CENTRE,437844
37,1.392073887,103.7430996,LIMBANG SHOPPING CENTRE,680533
38,1.384974597,103.7450118,"LOT ONE, SHOPPERS' MALL",689812
39,1.331770545,103.8792945,MACPHERSON MALL,368125
40,1.280227677,103.8533493,MARINA BAY LINK MALL,18984
41,1.30150038,103.8378881,ORCHARD SHOPPING CENTRE,238866
42,1.300645302,103.8494486,PARKLANE SHOPPING MALL,188307
43,1.291807896,103.8502726,PENINSULA SHOPPING COMPLEX,179804
44,1.287595189,103.8033973,QUEENSWAY SHOPPING CENTRE/QUEENSWAY TOWER,149053
45,1.293893579,103.8531199,RAFFLES CITY SHOPPING CENTRE,179103
46,1.312874803,103.9239493,SIGLAP SHOPPING CENTRE,459092
47,1.312896766,103.9241113,SIGLAP SHOPPING CENTRE,459098
48,1.298152654,103.8441113,SINGAPORE SHOPPING CENTRE,239924
49,1.295931895,103.8590144,SUNTEC CITY MALL,38983
50,1.334844875,103.720462,TAMAN JURONG SHOPPING CENTRE,610399
51,1.352527373,103.9446988,TAMPINES MALL,529510
52,1.304843442,103.8238528,TANGLIN MALL,247933
53,1.306402711,103.8270506,TANGLIN SHOPPING CENTRE,247909
54,1.38004753,103.7524838,TECK WHYE SHOPPING CENTRE,680137
55,1.314896196,103.7644231,THE CLEMENTI MALL,129588
56,1.332339707,103.7482235,THE FURNITURE MALL,608838
57,1.360618739,103.7674825,THE RAIL MALL,678087
58,1.391470154,103.8761255,THE SELETAR MALL,797653
59,1.332220489,103.8995825,UBI CAR MALL,408616
60,1.353480883,103.8788284,UPPER SERANGOON SHOPPING CENTRE,534626
61,1.350019209,103.7492448,WEST MALL,658713
